Personality Type,Career
ENFP,Anthropologist
ENFP,Broadcast News Analyst
ENFP,Career Counselor
ENFP,Chemist
ENFP,Computer Programmer
INFP,Actor
INFP,Architect
INFP,Career Counselor
INFP,Coach
INFP,Composer
ENFJ,Advertising Account Executive
ENFJ,Career Counselor
ENFJ,Child Welfare Worker
ENFJ,Coach
ENFJ,University Administrator
ENFJ,College Professor
ENFJ,Composer
ENFJ,Dental Hygienist
ENFJ,Desktop Publisher
ENFJ,Nutritionist
ENFJ,Editor
ENFJ,Event Planner
ENFJ,Graphic Designer
ENFJ,Hotel Manager
ENFJ,Human Resources Specialist
ENFJ,Translator
ENFJ,Marketing Manager
ENFJ,Multimedia Producer
ENFJ,Music Director
ENFJ,Optometrist
ENFJ,Probation Officer
ENFJ,Psychologist
ENFJ,Public Health Educator
ENFJ,Recreational Director
ENFJ,Reporter
ENFJ,Social Worker
INFJ,Architect
INFJ,Artist
INFJ,Career Counselor
INFJ,Child Life Specialist
INFJ,Desktop Publisher
INFJ,Nutritionist
INFJ,Lawyer
INFJ,Editor
INFJ,Health Care Administrator
INFJ,Interior Designer
INFJ,Translator
INFJ,Doctor
INFJ,Musician
INFJ,Pharmacist
INFJ,Photographer
INFJ,Psychologist
INFJ,Public Health Educator
INFJ,Social Worker
INFJ,Teacher
ENTP,Aeronautical Engineer
ENTP,Lawyer
ENTP,Broadcast News Analyst
ENTP,Computer Programmer
ENTP,Computer Systems Analyst
ENTP,Corrections Officer
ENTP,Desktop Publisher
ENTP,Detective
ENTP,Environmental Engineer
ENTP,Event Planner
ENTP,Hotel Manager
ENTP,Human Resources Manager
ENTP,Lawyer
ENTP,Optometrist
ENTP,Photographer
ENTP,Psychologist
ENTP,Reporter
INTP,Anthropologist
INTP,Archaeologist
INTP,Architect
INTP,Astronomer
INTP,Biomedical Engineer
INTP,Animator
INTP,Computer Engineer
INTP,Desktop Publisher
INTP,Economist
INTP,Dancer
INTP,Financial Analyst
INTP,Forester
INTP,Geneticist
INTP,Investigator
INTP,Lawyer
INTP,Microbiologist
INTP,Network Administrator
INTP,Neurologist
INTP,Pharmacist
INTP,Photographer
INTP,Plastic Surgeon
INTP,Psychiatrist
INTP,Web Developer
ENTJ,Accountant
ENTJ,Architect
ENTJ,Chemical Engineer
ENTJ,University Administrator
ENTJ,Database Manager
ENTJ,Dentist
ENTJ,Economist
ENTJ,Environmental Engineer
ENTJ,Human Resources Manager
ENTJ,Journalist
ENTJ,Lawyer
ENTJ,Network Administrator
ENTJ,Photographer
ENTJ,Physician
ENTJ,Pilot
ENTJ,Political Scientist
ENTJ,Psychologist
ENTJ,Sales manager
ENTJ,Teacher
INTJ,Aerospace Engineer
INTJ,Animator
INTJ,Architect
INTJ,Astronomer
INTJ,Lawyer
INTJ,Broadcast Engineer
INTJ,Business Analyst
INTJ,Cardiologist
INTJ,Chemical Engineer
INTJ,Civil Engineer
INTJ,College Professor
INTJ,Computer Programmer
INTJ,Corrections Officer
INTJ,Database Manager
INTJ,Dentist
INTJ,Economist
INTJ,Financial Analyst
INTJ,Graphic Designer
INTJ,Human Resource Manager
INTJ,Lawyer
INTJ,Nuclear Engineer
INTJ,Photographer
INTJ,Pilot
INTJ,Psychologist
INTJ,Surgeon
